"","model","DRPS","Coverage","last_train","DRPS_rank","Coverage_rank"
"163","3_sources",37.33565,0.833333333333333,308,1,3.5
"164","4_sources",99.5002118055556,0.916666666666667,308,2,1.5
"165","1_source",26.2442069444444,1,317,1,2
"166","2_sources",62.6796736111111,1,317,4,2
"167","3_sources",42.9712930555556,0.916666666666667,317,2,4
"168","4_sources",50.5607,1,317,3,2
"169","1_source",28.0070208333333,1,320,1,2.5
"170","2_sources",61.0348590277778,1,320,4,2.5
"171","3_sources",46.7826416666667,1,320,3,2.5
"172","4_sources",37.0737076388889,1,320,2,2.5
"173","1_source",29.9823020833333,1,322,3,2
"174","2_sources",28.8166326388889,1,322,1,2
"175","3_sources",28.9108888888889,1,322,2,2
"176","4_sources",53.0558222222222,0.75,322,4,4
"177","1_source",31.5531520833333,1,323,3,2
"178","2_sources",57.2255743055556,0.25,323,4,4
"179","3_sources",31.1707020833333,1,323,2,2
"180","4_sources",28.3234743055556,1,323,1,2
"181","1_source",51.3212965277778,0.666666666666667,336,2,2
"182","2_sources",44.7454159722222,0.75,336,1,1
"183","3_sources",59.1370194444444,0.333333333333333,336,4,4
"184","4_sources",53.5933055555556,0.5,336,3,3
"185","1_source",35.2790125,1,337,1,1.5
"186","2_sources",40.6022055555556,0.75,337,3,4
"187","3_sources",35.60825,1,337,2,1.5
"188","4_sources",46.4499604166667,0.833333333333333,337,4,3
"189","1_source",52.9470277777778,0.5,338,4,4
"190","2_sources",35.0621319444444,0.916666666666667,338,1,1
"191","3_sources",38.6342673611111,0.833333333333333,338,2,2
"192","4_sources",41.7251479166667,0.666666666666667,338,3,3
"193","1_source",37.2985583333333,1,343,2,2
"194","2_sources",26.9237618055556,1,343,1,2
"195","3_sources",43.05228125,0.833333333333333,343,4,4
"196","4_sources",40.4290368055556,1,343,3,2
"197","1_source",24.3039201388889,1,346,1,2.5
"198","2_sources",26.6547104166667,1,346,4,2.5
"199","3_sources",25.8320576388889,1,346,3,2.5
"200","4_sources",25.32491875,1,346,2,2.5
